"fyear","AEE","AEM","AFL","AIG","AVP","BBY","BC","CBM","CLC","CVS","D","ES","ETR","EV","FAST","FE","FRT","GD","GPC","GWW","GXP","HCP","HD","HNI","HOG","HRC","INT","IP","JBHT","JNJ","KELYA","LEN","LLY","LNC","LPX","MKC","MRTN","NE","NOC","OLN","OSK","PCAR","PHM","PKI","R","SAFM","SGMS","SPXC","SWKS","TGNA","TGT","TMK","TRN","TROW","TSN","UHS","UNH","UNP","VFC","WHR","WR","YRCW"
1987,14.9039106145251,0.891244444444445,7.08255004645572,-1.76541666666667,4.8621359223301,0.50016015258219,12.0610169491525,-0.257225806451613,0.909361849560368,5.10092452830188,11.7824795142071,13.6145185185185,49.7707878787879,0.809322834645669,0.0259661151268785,-10.2281739130435,-2.74963522012579,9.31692307692308,5.73392466615559,3.78927659574468,4.45388,0.6104,2.40079217647077,1.63483544303797,-1.47361538461538,1.75108196721311,0.11441272964919,8.85207100591716,1.58523095555638,12.6210350584307,0.660436123508263,1.39986693357463,1.85384615384616,4.30661682242991,4.93084252793751,0.804175182481752,0.159384627154557,-1.14825,3.68627450980392,1.26190476190476,1.54410212765957,2.41984297258582,9.30292537313433,1.40424060150376,6.01645283018869,-0.108823541574396,0.0312857377500176,2.18729787234043,-1.07125,8.96411501597444,7.94552036485128,7.68649218971165,0.720306570074524,0.8825,7.15055877477057,0.902399999999998,-7.82427586206897,13.2962962962963,7.9049387755102,13.8051282051282,6.39306077348066,1.69359641255605
1988,12.1871502590674,1.12808333333333,7.78363771091329,18.6594243542435,-27.3897435897436,0.22342036393997,9.75407407407407,0.850101804996234,0.480396993410888,6.46951260504202,12.1139487817075,14.0074465408805,-17.7656875,0.290682926829268,0.126789473684211,19.2937748344371,0.685585798816568,6.54778325123153,4.3652979142587,1.57141531322506,3.36733067729084,0.523169082125604,2.77895950803723,-0.245698630136986,1.56760591133005,3.20528695652174,0.174095297453444,18.6522911051213,1.48606608953131,12.2760646108664,1.96373160270509,1.58641643190586,11.7321637426901,-5.72103448275862,1.66371726351019,1.48934545454545,0.0942400143244822,-1.53969230769231,3.80540540540541,2.09803921568627,2.39044660194175,3.75329532488056,-2.12197752808989,2.12866086956522,7.87342307692308,0.66610531644632,0.0455609968122882,0.557094736842106,0.0744444444444444,9.62138947368421,9.29545555316643,6.13406710829285,0.943820872031753,0.636666666666667,5.00717121899317,0.774559999999999,-15.7397777777778,5.75875486381323,6.9240347826087,3.50707070707071,3.22671038251366,2.19471936758893
1989,9.9804366812227,-0.964455696202531,4.11161176440054,11.8802125603865,2.32406779661017,-2.24232285551054,-4.34690265486726,0.78760793147289,0.760779062949851,7.3416918767507,9.13052924909214,11.2546666666667,2.02636559139785,0.38,0.111566666666667,24.2510315789474,-1.03136363636364,11.2869080779944,3.99312448777579,1.71626356589147,3.11466666666667,0.429849802371542,1.65927541537986,1.54283443708609,1.17773248407643,1.29030952380952,0.193206401832093,15.646017699115,1.49853182615219,19.5031578947368,1.51424233257755,1.35444730166796,18.5211678832117,9.90917453798768,2.22427784904601,1.90816,-0.210117670789761,-1.38075675675676,-4.66285714285714,2.28333333333333,1.84768932038835,2.14339214126827,8.2641797752809,2.44758823529412,1.45668711656441,1.05852320134027,0.0527843255657389,2.82683937823834,-3.28626086956522,8.98749425287356,6.03774048482615,3.82789342446015,1.36513837915639,0.278068376068376,2.44312213332149,0.19772972972973,-0.293855670103092,11.0538336052202,7.10519215686274,6.23939393939394,3.04121212121212,1.92885981308411
1990,9.88820168067227,-12.0485614035088,6.09166138249565,20.8143349593496,-5.54893617021277,-1.5152242261586,0.888888888888886,-1.46605746120105,0.520500049707755,15.308880952381,10.8032052754212,12.4102,32.478748603352,0.128553846153846,0.304,23.1906569343066,2.14921739130435,-26.8910891089109,5.68811154403054,0.915133709981168,2.91449645390071,0.613464150943396,2.89151609953265,3.22275862068965,3.26779220779221,1.03066666666667,0.0687887453382766,8.07476635514019,1.33851446775225,11.2334494773519,1.28174060712769,1.06898128617013,15.0511945392491,-0.816418604651163,8.57717612170087,5.08334782608696,-1.12422257947518,-6.95793103448276,2.42877697841727,2.3841059602649,-2.001375,6.23163130007583,6.19136,2.20609677419355,3.02459999999999,1.00894757127262,0.373143060772358,-0.460145214521452,1.27587096774194,10.4105190311419,6.45801677174559,4.62216145408425,1.19810461200145,2.111625,6.1370004508335,1.09052054794521,-0.0607311827956992,9.00530973451327,3.01257142857143,3.23404255319149,3.86508875739645,2.31860377358491
1991,8.28789644012945,-16.2660039351165,4.38185929678752,14.6628818297332,7.24782608695652,-3.48000030385374,-2.96936936936937,0.240228623867048,0.847894034316159,8.51910112359551,8.86667022733477,10.9345608465608,28.3491983122363,0.397578947368421,0.236380228136882,11.8582926829268,-0.716450331125828,1.87906976744186,3.52189131328453,2.4745069124424,2.19311873350923,0.554441025641026,2.24740110267764,1.77148051948052,0.44813407821229,2.03482352941176,0.340375050772612,2.79858657243816,1.12523419188702,14.7336244541485,2.98327020210347,0.666931078408219,14.2994011976048,8.37501369863014,1.67211296356556,1.93081212121212,0.606933449055311,-5.61216,6.49904761904762,-0.371517027863777,1.14334545454545,1.84795908523163,1.3076170212766,1.04355778894472,2.11397530864198,1.2663256933032,-18.3331847097371,0.834452830188679,-0.123368421052632,6.33397802197802,4.56046172119226,4.1897214318842,0.793249558058477,0.305911111111111,7.02502615619423,1.4928,-0.124268456375839,1.71980676328502,1.54076971608833,5.29903536977492,3.07816740088106,1.13040375586854
1992,8.17145150501672,-0.225090909090909,5.61212245697115,12.5537844827586,2.08758465011287,3.05181876159889,-7.36615384615385,0.339941214663984,0.452831168831169,1.26051764705882,11.9012658227848,9.85471698113207,17.5251212121212,0.537058823529412,0.526457831325301,13.9706378378378,0.66004,7.80699638118215,6.6566794582626,3.89,3.7949010989011,1.43164356435644,7.05824492818784,1.22548936170213,1.07859136212625,0.508852852852852,0.273767502471317,1.36585365853659,1.69677419354839,16.6138613861386,1.16132622049122,1.03406661670553,12.2139917695473,-1.51363513513514,2.33640167364017,3.33242105263158,0.374909156006953,9.25332573636725,2.75457875457875,0.284153005464481,0.934421052631579,1.90043675458455,2.20866390041494,4.0324076433121,4.50665454545454,1.23488901969565,0.566122492882969,-1.36432786885246,-1.48278260869565,3.79322167487685,4.65595038070232,4.57750547045952,0.950408877419504,0.631274725274725,7.10288343708883,2.55086725663717,2.17318681318681,10.7179487179487,5.87799061032864,4.05602240896359,4.24844444444444,0.561059360730594
1993,7.59541401273885,-2.59947826086957,9.52120062948359,21.8556125356125,0.493573264781491,-0.207221719457014,-1.67777777777778,0.446617315489519,0.946871794871795,9.74663384615385,11.8809917355372,13.1066105263158,11.7925555555556,0.234885714285714,0.362903225806452,-2.5007032967033,1.79244,14.1138211382114,8.04255312597157,3.31624347826087,4.5374347826087,0.719889400921659,12.285853364697,1.87207142857143,-1.0305269121813,2.05765765765766,0.0916154013880505,3.9409594095941,1.57694623655914,47.3314763231198,1.37798198198198,1.57371468932582,5.94694736842105,14.3686896551724,5.1030303030303,2.51333333333333,0.366986694655518,2.10422857142857,6.04682274247492,-1.84303797468354,0.0758356164383562,2.78693997764823,1.03009655172414,3.00141496598639,-2.54218867924528,1.00529044645837,-0.0114716981132077,1.44427636363636,-3.11392,6.86482096069869,2.60076166350184,5.8506,1.97368421052632,1.25075862068966,8.6945970729017,1.4878024691358,2.85846457990115,10.5708582834331,3.92782655826558,0.43609022556391,5.07607168458781,0.960000000000001
1994,9.06131448763251,-7.16847457627119,9.40215849182716,23.0281530612245,3.25188284518828,-1.24951724137931,10.2039735099338,0.155692353382025,0.801341935483871,8.79047773279352,13.2138888888889,15.1373410404624,17.06976,0.77204743083004,0.428354740061162,24.069945945946,1.26574545454545,-1.14942528735632,9.14914470622007,1.99400865800866,3.68329411764706,2.46502904564315,15.0447963547292,2.21588785046729,4.382,6.00033472803347,0.295757627022231,4.41791044776119,2.73049180327869,32.4200913242009,1.74072727272727,4.186176,20.1371428571429,0.513685714285715,10.7376146788991,3.09763157894737,0.429250040993379,-0.809361702127659,2.80952380952381,1.68932038834951,-0.201379310344828,2.19661016949153,-0.421869565217393,0.0944424778761064,6.10645454545455,0.77635452393538,-1.04182857142857,2.55372549019608,0.0913777777777777,9.21156807511737,8.85975090126625,9.16404301075269,2.20735785953177,1.57843333333333,-0.316708352203871,1.16363265306122,8.29750692520776,11.8567493112948,7.53435475578406,3.46268656716418,6.49603493449782,-0.48510994764398
1995,7.5351377245509,2.45395620437956,8.31871702104444,27.0080972972973,4.28258706467662,6.34471641791045,-1.32916666666667,0.533317318893321,1.03881142857143,-21.7773658536585,13.3115151515152,13.4220206185567,23.1885811965812,-0.0890136986301368,0.56712426035503,13.5279574468085,0.728967032967033,8.25369978858351,8.47131864966247,2.87542641509434,4.35859047619048,2.31157295373665,14.7781353372684,1.57101075268817,4.83137391304348,1.1870534351145,0.529176530042775,29.5709570957096,-0.256000000000001,21.6491228070175,2.37430630630631,2.62716384180791,32.7608888888889,-0.913227906976744,7.78556701030928,4.1861164021164,0.291393964648083,6.03455555555555,3.921875,1.87205387205387,-0.305836065573771,8.77626112759644,1.32856505576208,2.45529896907217,5.28028282828282,1.352,-15.991,1.09343629343629,-0.462990711964278,7.7375315682281,3.81145016145708,3.12430939226519,3.26021505376344,1.09632487309645,7.72093461661255,0.816450704225353,13.2298738049713,12.5909090909091,2.5205308056872,2.47887323943662,5.45249438202247,-3.10060606060606
1996,7.81828571428571,1.1307012987013,9.26231578947368,27.0382263279446,4.79299781181619,-0.174594594594594,12.15,0.849832061068702,1.19813636363636,-5.29063444108761,12.038961038961,-9.87062857142858,23.0060814479638,1.13122285714286,0.845814207650273,15.612,1.04044239631336,-0.438162544169611,6.897912477801,1.15951401869159,3.96456140350877,1.70942857142857,17.0738664812284,2.09481818181818,1.17044680851064,1.22033898305085,0.849915584413452,6.51851851851852,1.6135,41.3266331658291,3.42266666666667,3.52726923076923,22.7561643835616,16.2797904761905,-7.24733727810651,1.34473096446701,0.140509100616993,-1.50898113207547,2.51359516616314,-6.29900332225914,2.35457777777778,2.34264705882353,9.19037398373984,4.36253416149068,-4.97226666666666,-0.509259259259259,-27.061751830786,2.72982456140351,-1.64261224489796,12.8031252086811,11.6146179401993,6.06451485148515,4.60905349794239,1.50190804597701,3.14385502695974,1.76129257641921,5.75624444444444,15.6839916839917,1.67362962962963,3.77479892761394,5.42889068825911,-1.81697391304348
1997,8.07979190751445,-14.7541183799431,10.6120097799511,30.3830620689655,5.90142566191446,-5.63893119710245,10.0092384347026,0.0277391304347827,0.517434599156118,5.32296866852907,5.26761004293359,-4.13833413596912,-5.0824403912162,0.938103806228374,1.06860130718954,10.7811379310345,1.57289320388349,5.71757925072046,9.92860403533778,3.20864942182204,0.88062387921685,1.67978435275671,18.7438016528926,1.22154237288136,6.20502752293578,1.27911683784555,0.564954545454545,-4.49855072463768,0.610720000000001,37.8444022770398,1.24993333333333,3.95219161676647,-23.5633752244165,-21.9641856,-5.57368421052631,4.12162264150943,0.28397741948419,11.6470530612245,4.06086956521739,10.9013333333333,-0.787127819548872,4.97142857142857,-0.0560843824389818,0.94267746190074,8.81523664122138,0.347463428852289,-12.4316817618152,2.22817474311372,0.115475409836066,11.1807260658087,10.3006802683516,7.82821788019749,2.05090909090909,0.931037773359841,8.49511584557367,1.33463027295285,15.0341146219487,8.51097804391217,10.6984301075269,-8.43636363636364,9.79558139534884,2.2862487562189
1998,8.54163396778917,-5.70238095238095,8.72934472934473,36.7399741267788,7.02824858757062,-0.532269541778976,5.89090909090909,0.587625,1.54392026578073,7.20363636363636,9.99786096256685,-7.0665625,13.9196144578313,1.70122905027933,1.16484090909091,15.2663953934741,1.89515343915344,9.71186440677966,10.275738317757,5.82164564564565,5.1175358649789,2.8210406504065,28.4297520661157,5.63521671018277,4.13281266490765,4.41804180418042,1.1392688172043,3.50348675034867,1.79613043478261,46.6169895678092,3.20018897637795,6.52089887640449,28.9699015471167,22.8709671504966,-5.05665529010239,2.97827715355805,0.642264150943396,0.0724251207729478,2.91282051282051,6.53421633554084,1.3866,7.55015197568389,8.05975730337079,2.33387865168539,3.81107692307692,0.873759336099585,-2.65846153846154,-0.92089552238806,1.18731972789116,15.2946356589147,13.9764705882353,7.09680707964602,5.95404255319149,2.64849635036496,0.105660377358492,1.51575903614458,-24.6153846153846,-15.9556171983356,9.58276266666667,4.8216704288939,3.24721804511278,-1.90786928104575
1999,8.54125190839694,5.27139495798319,8.24370860927152,48.3329479768786,7.41818181818182,6.99540503432495,2.84044943820225,0.783825771324864,3.10371223021583,14.6934169278997,11.2611464968153,-3.01655927051671,21.9360776699029,-0.210925045703839,0.883271210013908,26.9217851239669,2.86697674418605,15.5450236966825,16.7977833753149,3.37190065359477,5.07898016997167,3.89667015706806,39.1169977924945,3.7694358974359,3.88614243902439,7.28336380255941,-0.904068376068376,4.35880398671096,2.06085778781038,39.9571045576408,3.61699502487562,7.11871264367816,7.02706766917293,24.945525,16.1635555555556,3.38089668615984,0.743533980582524,4.96653435114504,6.82543352601156,2.52365930599369,1.11233802816901,10.1483779971791,11.1865333333333,2.88784407796102,18.211273657289,0.716477987421383,0.893658536585366,1.1508120649652,0.184473684210526,11.9910865900383,17.8975332068311,9.09883870967742,6.84327176781003,4.46077834179357,14.8501901140684,2.02372222222222,11.4258823529412,18.5636623748212,11.5304,8.89913544668588,0.769062730627307,3.20333085501859
2000,11.6320215924426,0.593166666666668,8.74112554112554,55.9239061509195,9.64804177545692,9.7578857421875,-7.31254752851711,1.46002209944751,2.4667972027972,10.6561001042753,5.3134328358209,1.67888659793814,12.6738434268833,2.66935006273526,1.38263325740319,22.9456158415842,3.20547368421053,12.7435897435897,15.3978424821002,5.21632876712329,4.98952164009112,2.7728870292887,53.4854771784232,4.90996078431373,2.80231446540881,3.68627450980392,0.463874345549738,-18.8177641653905,2.57611895910781,35.2647233789411,4.14349206349206,0.423731755424064,28.0703828072532,12.4678044914135,6.33086419753087,3.31543624161074,0.664125654450262,2.88105899280576,5.19277108433735,2.03389830508475,1.06505806451613,8.56243654822335,1.33511111111111,0.824885714285714,4.81533834586466,-1.02314285714286,-13.5554838709678,1.79872905834778,-0.876761904761905,24.9111595639247,29.6998420221169,8.88161300813008,-3.64102564102564,12.9413678373383,13.6,0.796402684563758,15.0224032586558,17.9704433497537,6.0432119205298,10.5688073394495,5.59230226700252,3.18280890253262
